play_id,game_id,Number,Kicker,Yards,Outcome,hash,make_x,make_y,posteam,defteam,game_date,qtr,quarter_seconds_remaining,yardline_100,desc
1652,2022_09_MIN_WAS,6,J. Slye,44,Good,-9.25,5.5,33.1,WAS,MIN,2022-11-06,2,41,26,"(:41) 6-J.Slye 44 yard field goal is GOOD, Center-54-C.Cheeseman, Holder-5-T.Way."
3116,2022_09_MIN_WAS,1,G. Joseph,25,Good,9.25,0.4,16.3,MIN,WAS,2022-11-06,4,649,7,"(10:49) 1-G.Joseph 25 yard field goal is GOOD, Center-42-A.DePaola, Holder-14-R.Wright."
3828,2022_09_MIN_WAS,1,G. Joseph,28,Good,0,0.8,27.3,MIN,WAS,2022-11-06,4,16,10,"(:16) 1-G.Joseph 28 yard field goal is GOOD, Center-42-A.DePaola, Holder-14-R.Wright."
269,2022_09_SEA_ARI,5,J. Myers,49,Good,9.25,-7.2,25.7,SEA,ARI,2022-11-06,1,655,31,"(10:55) 5-J.Myers 49 yard field goal is GOOD, Center-46-C.Tinker, Holder-4-M.Dickson."
501,2022_09_TEN_KC,7,H. Butker,23,Good,-9.25,-1.6,23.8,KC,TEN,2022-11-06,1,410,5,"(6:50) 7-H.Butker 23 yard field goal is GOOD, Center-41-J.Winchester, Holder-5-T.Townsend."
2416,2022_09_TEN_KC,14,R. Bullock,44,Good,-9.25,-2,30,TEN,KC,2022-11-06,3,603,26,"(10:03) 14-R.Bullock 44 yard field goal is GOOD, Center-46-M.Cox, Holder-4-R.Stonehouse."
2697,2022_09_TEN_KC,7,H. Butker,47,No Good,-9.25,10.7,28.9,KC,TEN,2022-11-06,3,321,29,"(5:21) 7-H.Butker 47 yard field goal is No Good, Wide Right, Center-41-J.Winchester, Holder-5-T.Townsend."
4547,2022_09_TEN_KC,7,H. Butker,28,Good,-9.25,3.5,30,KC,TEN,2022-11-06,5,247,11,"(4:07) 7-H.Butker 28 yard field goal is GOOD, Center-41-J.Winchester, Holder-5-T.Townsend."
1969,2022_09_BAL_NO,3,W. Lutz,33,Good,9.25,3.9,26.1,NO,BAL,2022-11-07,2,5,15,"(:05) 3-W.Lutz 33 yard field goal is GOOD, Center-49-Z.Wood, Holder-4-B.Gillikin."
2329,2022_09_BAL_NO,9,J. Tucker,32,Good,0,4.3,34.6,BAL,NO,2022-11-07,3,509,14,"(8:29) 9-J.Tucker 32 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout."
2656,2022_09_BAL_NO,3,W. Lutz,37,Good,9.25,6.3,25.1,NO,BAL,2022-11-07,3,90,19,"(1:30) 3-W.Lutz 37 yard field goal is GOOD, Center-49-Z.Wood, Holder-4-B.Gillikin."
3093,2022_09_BAL_NO,9,J. Tucker,41,Good,-9.25,-6.7,33.8,BAL,NO,2022-11-07,4,516,23,"(8:36) 9-J.Tucker 41 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout."
